year,make,model,status,pdf_year
2007,BMW,335,missing,
2008,BMW,335,missing,
2009,BMW,335,missing,
2010,BMW,335,missing,
2011,BMW,335,missing,
2012,BMW,335,missing,
2013,BMW,335,missing,
2014,BMW,335,missing,
2015,BMW,335,missing,
2014,BMW,335 Gran Turismo,missing,
2015,BMW,335 Gran Turismo,missing,
2016,BMW,335 Gran Turismo,missing,
2009,BMW,335d,missing,
2010,BMW,335d,missing,
2011,BMW,335d,missing,
2016,BMW,340,missing,
2017,BMW,340,missing,
2018,BMW,340,missing,
2017,BMW,340 Gran Turismo,missing,
2018,BMW,340 Gran Turismo,missing,
2019,BMW,340 Gran Turismo,missing,
2014,BMW,428,missing,
2015,BMW,428,missing,
2016,BMW,428,missing,
2015,BMW,428 Gran Coupe,missing,
2016,BMW,428 Gran Coupe,missing,
2017,BMW,430,missing,
2018,BMW,430,missing,
2019,BMW,430,missing,
2020,BMW,430,missing,
2021,BMW,430,missing,
2022,BMW,430,missing,
2023,BMW,430,missing,
2024,BMW,430,missing,
2025,BMW,430,missing,
2026,BMW,430,missing,
2017,BMW,430 Gran Coupe,missing,
2018,BMW,430 Gran Coupe,missing,
2019,BMW,430 Gran Coupe,missing,
2020,BMW,430 Gran Coupe,missing,
2022,BMW,430 Gran Coupe,missing,
2023,BMW,430 Gran Coupe,missing,
2024,BMW,430 Gran Coupe,missing,
2026,BMW,430 Gran Coupe,missing,
2026,BMW,430i,missing,
2014,BMW,435,missing,
2015,BMW,435,missing,
2016,BMW,435,missing,
2015,BMW,435 Gran Coupe,missing,
2016,BMW,435 Gran Coupe,missing,
2017,BMW,440,missing,
2018,BMW,440,missing,
2019,BMW,440,missing,
2020,BMW,440,missing,
2017,BMW,440 Gran Coupe,missing,
2018,BMW,440 Gran Coupe,missing,
2019,BMW,440 Gran Coupe,missing,
2020,BMW,440 Gran Coupe,missing,
2001,BMW,525,missing,
2002,BMW,525,missing,
2003,BMW,525,missing,
2004,BMW,525,missing,
2005,BMW,525,missing,
2006,BMW,525,missing,
2007,BMW,525,missing,
2000,BMW,528,missing,
2008,BMW,528,missing,
2009,BMW,528,missing,
2010,BMW,528,missing,
2011,BMW,528,missing,
2012,BMW,528,missing,
2013,BMW,528,missing,
2014,BMW,528,missing,
2015,BMW,528,missing,
2016,BMW,528,missing,
2001,BMW,530,missing,
2002,BMW,530,missing,
2003,BMW,530,missing,
2004,BMW,530,missing,
2005,BMW,530,missing,
2006,BMW,530,missing,
2007,BMW,530,missing,
2017,BMW,530,missing,
2018,BMW,530,missing,
2019,BMW,530,missing,
2020,BMW,530,missing,
2021,BMW,530,missing,
2022,BMW,530,missing,
2023,BMW,530,missing,
2024,BMW,530,missing,
2025,BMW,530,missing,
2018,BMW,530e,missing,
2019,BMW,530e,missing,
2020,BMW,530e,missing,
2021,BMW,530e,missing,
2022,BMW,530e,missing,
2023,BMW,530e,missing,
2026,BMW,530i,missing,
2008,BMW,535,missing,
2009,BMW,535,missing,
2010,BMW,535,missing,
2011,BMW,535,missing,
2012,BMW,535,missing,
2013,BMW,535,missing,
2014,BMW,535,missing,
2015,BMW,535,missing,
2016,BMW,535,missing,
2010,BMW,535 Gran Turismo,missing,
2011,BMW,535 Gran Turismo,missing,
2012,BMW,535 Gran Turismo,missing,
2013,BMW,535 Gran Turismo,missing,
2014,BMW,535 Gran Turismo,missing,
2015,BMW,535 Gran Turismo,missing,
2016,BMW,535 Gran Turismo,missing,
2017,BMW,535 Gran Turismo,missing,
2014,BMW,535d,missing,
2015,BMW,535d,missing,
2016,BMW,535d,missing,
2000,BMW,540,missing,
2001,BMW,540,missing,
2002,BMW,540,missing,
2003,BMW,540,missing,
2017,BMW,540,missing,
2018,BMW,540,missing,
2019,BMW,540,missing,
2020,BMW,540,missing,
2021,BMW,540,missing,
2022,BMW,540,missing,
2023,BMW,540,missing,
2024,BMW,540,missing,
2025,BMW,540,missing,
2018,BMW,540d,missing,
2019,BMW,540d,missing,
2026,BMW,540i,missing,
2004,BMW,545,missing,
2005,BMW,545,missing,
2006,BMW,550,missing,
2007,BMW,550,missing,
2008,BMW,550,missing,
2009,BMW,550,missing,
2010,BMW,550,missing,
2011,BMW,550,missing,
2012,BMW,550,missing,
2013,BMW,550,missing,
2014,BMW,550,missing,
2015,BMW,550,missing,
2016,BMW,550,missing,
2010,BMW,550 Gran Turismo,missing,
2011,BMW,550 Gran Turismo,missing,
2012,BMW,550 Gran Turismo,missing,
2013,BMW,550 Gran Turismo,missing,
2014,BMW,550 Gran Turismo,missing,
2015,BMW,550 Gran Turismo,missing,
2016,BMW,550 Gran Turismo,missing,
2017,BMW,550 Gran Turismo,missing,
2025,BMW,550e,missing,
2026,BMW,550e,missing,
2012,BMW,640,missing,
2013,BMW,640,missing,
2014,BMW,640,missing,
2015,BMW,640,missing,
2016,BMW,640,missing,
2017,BMW,640,missing,
2018,BMW,640,missing,
2013,BMW,640 Gran Coupe,missing,
2014,BMW,640 Gran Coupe,missing,
2015,BMW,640 Gran Coupe,missing,
2016,BMW,640 Gran Coupe,missing,
2017,BMW,640 Gran Coupe,missing,
2018,BMW,640 Gran Coupe,missing,
2019,BMW,640 Gran Coupe,missing,
2018,BMW,640 Gran Turismo,missing,
2019,BMW,640 Gran Turismo,missing,
2004,BMW,645,missing,
2005,BMW,645,missing,
2006,BMW,650,missing,
2007,BMW,650,missing,
2008,BMW,650,missing,
2009,BMW,650,missing,
2010,BMW,650,missing,
2012,BMW,650,missing,
2013,BMW,650,missing,
2014,BMW,650,missing,
2015,BMW,650,missing,
2016,BMW,650,missing,
2017,BMW,650,missing,
2018,BMW,650,missing,
2013,BMW,650 Gran Coupe,missing,
2014,BMW,650 Gran Coupe,missing,
2015,BMW,650 Gran Coupe,missing,
2016,BMW,650 Gran Coupe,missing,
2017,BMW,650 Gran Coupe,missing,
2018,BMW,650 Gran Coupe,missing,
2019,BMW,650 Gran Coupe,missing,
2000,BMW,740,missing,
2001,BMW,740,missing,
2011,BMW,740,missing,
2012,BMW,740,missing,
2013,BMW,740,missing,
2014,BMW,740,missing,
2015,BMW,740,missing,
2016,BMW,740,missing,
2017,BMW,740,missing,
2018,BMW,740,missing,
2019,BMW,740,missing,
2020,BMW,740,missing,
2021,BMW,740,missing,
2022,BMW,740,missing,
2023,BMW,740,missing,
2024,BMW,740,missing,
2025,BMW,740,missing,
2026,BMW,740,missing,
2017,BMW,740e,missing,
2018,BMW,740e,missing,
2019,BMW,740e,missing,
2002,BMW,745,missing,
2003,BMW,745,missing,
2004,BMW,745,missing,
2005,BMW,745,missing,
2020,BMW,745e,missing,
2021,BMW,745e,missing,
2022,BMW,745e,missing,
2000,BMW,750,missing,
2001,BMW,750,missing,
2006,BMW,750,missing,
2007,BMW,750,missing,
2008,BMW,750,missing,
2009,BMW,750,missing,
2010,BMW,750,missing,
2011,BMW,750,missing,
2012,BMW,750,missing,
2013,BMW,750,missing,
2014,BMW,750,missing,
2015,BMW,750,missing,
2016,BMW,750,missing,
2017,BMW,750,missing,
2018,BMW,750,missing,
2019,BMW,750,missing,
2020,BMW,750,missing,
2021,BMW,750,missing,
2022,BMW,750,missing,
2026,BMW,750,missing,
2024,BMW,750e,missing,
2025,BMW,750e,missing,
2003,BMW,760,missing,
2004,BMW,760,missing,
2005,BMW,760,missing,
2006,BMW,760,missing,
2007,BMW,760,missing,
2008,BMW,760,missing,
2010,BMW,760,missing,
2011,BMW,760,missing,
2012,BMW,760,missing,
2013,BMW,760,missing,
2014,BMW,760,missing,
2015,BMW,760,missing,
2023,BMW,760,missing,
2024,BMW,760,missing,
2025,BMW,760,missing,
2026,BMW,760,missing,
2020,BMW,840,missing,
2021,BMW,840,missing,
2022,BMW,840,missing,
2023,BMW,840,missing,
2024,BMW,840,missing,
2025,BMW,840,missing,
2026,BMW,840,missing,
2020,BMW,840 Gran Coupe,missing,
2021,BMW,840 Gran Coupe,missing,
